date,clicks,repository_id
2017-12-26,685,university_new_mexico
2017-12-27,776,university_new_mexico
2017-12-28,736,university_new_mexico
2017-12-29,631,university_new_mexico
2017-12-30,519,university_new_mexico
2017-12-31,450,university_new_mexico
2018-01-01,534,university_new_mexico
2018-01-02,968,university_new_mexico
2018-01-03,1082,university_new_mexico
2018-01-04,1031,university_new_mexico
2018-01-05,811,university_new_mexico
2018-01-06,729,university_new_mexico
2018-01-07,904,university_new_mexico
2018-01-08,1264,university_new_mexico
2018-01-09,1294,university_new_mexico
2018-01-10,1277,university_new_mexico
2018-01-11,5,university_new_mexico
2018-01-12,974,university_new_mexico
2018-01-13,690,university_new_mexico
2018-01-14,999,university_new_mexico
2018-01-15,1321,university_new_mexico
2018-01-16,1552,university_new_mexico
2018-01-17,1487,university_new_mexico
2018-01-18,1515,university_new_mexico
2018-01-19,1186,university_new_mexico
2018-01-20,966,university_new_mexico
2018-01-21,1214,university_new_mexico
2018-01-22,1611,university_new_mexico
2018-01-23,1691,university_new_mexico
2018-01-24,1609,university_new_mexico
2018-01-25,1577,university_new_mexico
2018-01-26,1226,university_new_mexico
2018-01-27,983,university_new_mexico
2018-01-28,1293,university_new_mexico
2018-01-29,1869,university_new_mexico
2018-01-30,1892,university_new_mexico
2018-01-31,1733,university_new_mexico
2018-02-01,1609,university_new_mexico
2018-02-02,1374,university_new_mexico
2018-02-03,1033,university_new_mexico
2018-02-04,1233,university_new_mexico
2018-02-05,1746,university_new_mexico
2018-02-06,1800,university_new_mexico
2018-02-07,1795,university_new_mexico
2018-02-08,1715,university_new_mexico
2018-02-09,1369,university_new_mexico
2018-02-10,998,university_new_mexico
2018-02-11,1277,university_new_mexico
2018-02-12,1837,university_new_mexico
2018-02-13,1710,university_new_mexico
2018-02-14,1664,university_new_mexico
2018-02-15,1778,university_new_mexico
2018-02-16,1380,university_new_mexico
2018-02-17,1159,university_new_mexico
2018-02-18,1398,university_new_mexico
2018-02-19,1946,university_new_mexico
2018-02-20,1840,university_new_mexico
2018-02-21,1772,university_new_mexico
2018-02-22,1759,university_new_mexico
2018-02-23,1358,university_new_mexico
